"predictor","nvalid","original.HR","original.pval","original.padj","logarithm.HR","logarithm.pval","logarithm.padj","categorized.HR","categorized.pval","categorized.padj","rcs.overall.pval","rcs.overall.padj","rcs.nonlinear.pval","rcs.nonlinear.padj","best.var.trans"
"ph.ecog",227,1.60953199356131,2.69223354988985e-05,0.000215378683991188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original"
"pat.karno",225,0.980345570497434,0.000282395974994385,0.00112958389997754,0.27095440061747,0.000307116322869111,0.00153558161434555,0.575562730884976,0.000660769688272264,0.00462538781790585,0.00258477268713797,0.0155086361228278,0.590895160585196,0.886342740877794,"original"
"sex",228,0.588002818563588,0.00149122920488076,0.00397661121301537,NA,NA,NA,0.588002818563589,0.00149122920488075,0.00521930221708264,NA,NA,NA,NA,"categorized"
"ph.karno",227,0.983686321589324,0.00495786105896389,0.00991572211792777,0.31841682496144,0.00794676391749383,0.0198669097937346,0.635246534382232,0.00776695684560288,0.0181228993064067,0.0128461707235741,0.0385385121707222,0.230796093090756,0.684824519825127,"original"
"age",228,1.01889650029486,0.0418531313418108,0.0669650101468972,3.02567726080969,0.0466925551565956,0.0778209252609926,1.14407901578426,0.391064728927868,0.395755755478842,0.0825447018539842,0.165089403707968,0.342412259912563,0.684824519825127,"original"
"inst",227,0.990369219113784,0.345983808745513,0.461311744994017,0.929204550265612,0.318143191408034,0.397678989260042,0.838404663829768,0.260003969200167,0.364005556880234,0.817527653173983,0.870713064158114,0.983970488138617,0.983970488138617,"categorized"
"meal.cal",181,0.999876192894582,0.592940173775584,0.677645912886382,0.9141579607371,0.612809477457182,0.612809477457182,0.862060394309288,0.395755755478842,0.395755755478842,0.870713064158114,0.870713064158114,0.822725588383607,0.983970488138617,"categorized"
"wt.loss",214,1.00132006307084,0.828197369227151,0.828197369227151,NA,NA,NA,1.31901847985184,0.0909098384717715,0.1590922173256,0.112890716766431,0.169336075149647,0.0514936386661107,0.308961831996664,"rcs.nonlinear"
